"Number","Word","Transliteration","Grammar","Russian","Example"
103,岁,suì,сч. сл.,лет или годов (о возрасте),李医生今年 40~。
104,他,tā,мест.,он,~是我们的老师。
105,她,tā,мест.,она,我认识~的妈妈。
106,太,tài,нар.,чрезвычайно,这个学校~大了。
нар.,"чересчур, слишком","这个苹果~大,我吃不完。",,,
107,天气,tiānqì,сущ.,погода,今天的~非常好。
108,听,tīng,гл.,слышать. слушать,"你~,谁来了?"
"",,гл.,"слушаться, подчиняться","这件事儿,我~你的。",
109,同学,tóngxué,сущ.,учащийся в том же учебном заведении,"~们,你们好!"
110,喂,wèi,воскл.,"привет, алло","~,李老师在吗?"
111,我,wǒ,мест.,я,~是一个学生。
112,我们,wǒmen,мест.,мы,~都是学生。
113,五,wǔ,числ.,пять,今天星期~。
114,喜欢,xǐhuɑn,гл.,нравится,我~学汉语。
115,下,xià,сущ.,"ниже, под",小猫在桌子~面。
"",,гл.,"идет (снег, дождь)",今天~雨了。,
"",,сущ.,следующий,我~个月去北京。,
"",,гл.,вниз,他在~飞机呢。,
"",,гл.,закончить (работу или учебу),我们八点~班。,
116,下午,xià wǔ,сущ.,во второй половине дня,我今天~不去学校了。
117,下雨,xià yǔ,гл.,идет дождь,昨天~了。
118,先生,xiānsheng,сущ.,господин (обращение),你也认识王~?
119,现在,xiànzài,сущ.,"сейчас, в настоящее время",~是 12 点。
120,想,xiǎng,всп. гл.,собираться (что-то сделать),我~星期六去北京。
гл.,думать,"妈妈,你在~什么呢?",,,
"",,,гл.,скучать (по кому-либо или чему-либо),"爸爸,我~你了。"
121,小,xiǎo,прил.,маленький,这个苹果太~了。
"",,гл.,уменьшиться,"雨~了,我们现在走吧。",
"",,прил.,младший,"这是我的~儿子,他还有个哥哥。",
122,小姐,xiǎojiě,сущ.,мисс,"~,你叫什么名字?"
123,些,xiē,сч. сл,неопределенное количество,我买了~苹果。
"",,сч. сл,несколько,我的病好~了。,
124,写,xiě,гл.,писать,你~的字很漂亮。
125,谢谢,xièxie,гл.,благодарить,甲:~你。乙:不客气!
126,星期,xīngqī,сущ.,неделя,一个~有七天。
127,学生,xuésheng,сущ.,"ученик, школьник, студент",我们学校里的~很多。
128,学习,xuéxí,гл.,учиться,你喜欢~汉语吗?
129,学校,xuéxiào,сущ.,учебное заведение,我们~很大。
130,一,yī,числ.,один,这儿~个人都没有。
"",,числ.,ставится между повторяющимися глаголами,请让我看~看。,
131,一点儿,yìdiǎnr,сч. сл,чуть-чуть,我只有~钱。
132,衣服,yīfu,сущ.,одежда,我在商店买了很多~。
133,医生,yīshēng,сущ.,врач,他是这个医院里的~。
134,医院,yīyuàn,сущ.,больница,这是一个大~。
135,椅子,yǐzi,сущ.,стул,小狗在~下面呢。
136,有,yǒu,гл.,иметь,我~一个女儿。
"",,,гл.,есть (существовать),桌子上~本书。
137,月,yuè,сущ.,месяц,一年有 12 个~。
138,再见,zàijiàn,,до свидания,"妈妈,我去学校了,~。"
139,在,zài,гл.,находиться,书~桌子上。
"",,,нар.,"обозначает, что действие находится в процессе",我~吃饭呢。
